appname,event,timestamp
设置,32,1605021867986
设置,32,1605021868256
设置,32,1605021868289
系统桌面,32,1605021868954
系统桌面,32,1605021869455
系统桌面,1,1605021870886
系统桌面,32,1605021871085
系统桌面,32,1605021871103
系统桌面,32,1605021872821
系统桌面,32,1605021872876
系统桌面,32,1605021873424
系统桌面,1,1605021874220
微信,32,1605021874403
系统桌面,32,1605021874443
系统桌面,32,1605021874466
微信,32,1605021876137
系统桌面,32,1605021877924
系统桌面,32,1605021877967
系统桌面,32,1605021878597
系统桌面,1,1605021878894
微信,32,1605021878959
微信,32,1605021879010
微信,32,1605021880662
系统桌面,32,1605021882278
系统桌面,32,1605021882326
系统桌面,1,1605021883585
用户行为,32,1605021883642
系统桌面,32,1605021883651
系统桌面,32,1605021883681
用户行为,32,1605021883771
系统桌面,32,1605021885190
系统桌面,32,1605021885225
系统桌面,32,1605021885789
系统桌面,1,1605021887310
系统桌面,32,1605021887370
系统桌面,32,1605021887392
设置,32,1605021887409
设置,32,1605021890209
设置,32,1605021890237
用户行为3,32,1605021891034
用户行为3,32,1605021891076
用户行为3,1,1605021892404
用户行为3,1,1605021894170
用户行为3,1,1605021895659
用户行为3,1,1605021896522
用户行为3,1,1605021897175
用户行为3,1,1605021898147
用户行为3,1,1605021898990
用户行为3,1,1605021899782
系统桌面,32,1605021900985
系统桌面,32,1605021901520
系统桌面,32,1605021904865
系统桌面,32,1605021904881
系统桌面,32,1605021908033
系统桌面,1,1605021915033
用户行为,32,1605021915079
系统桌面,32,1605021915112
系统桌面,32,1605021915139
用户行为,32,1605021915190
用户行为,1,1605021915858
用户行为,1,1605021917147
设置,32,1605021917279
设置,1,1605021918910
设置,32,1605021919004
设置,1,1605021920276
设置,32,1605021920322
设置,32,1605021921228
设置,32,1605021922348
系统桌面,32,1605021922702
系统桌面,32,1605021922741
系统桌面,32,1605021923286
系统桌面,1,1605021934942
用户行为3,32,1605021935022
系统桌面,32,1605021935026
系统桌面,32,1605021935027
用户行为3,32,1605021935030
用户行为3,1,1605021937456
用户行为3,1,1605021938123
用户行为3,1,1605021939496
用户行为3,1,1605021941275
用户行为3,1,1605021942619
用户行为3,1,1605021949794
用户行为3,1,1605021950604
用户行为3,1,1605021952028
设置,32,1605050975845
设置,32,1605050975858
设置,1,1605050976540
设置,32,1605050976555
设置,32,1605050976577
设置,1,1605050977343
设置,32,1605050977383
设置,32,1605050977407
设置,1,1605050978188
用户行为3,32,1605050978228
用户行为3,32,1605050978272
用户行为3,1,1605050979741
用户行为3,1,1605050981110
用户行为3,1,1605050981723
用户行为3,1,1605050985046
系统桌面,32,1605050992789
系统桌面,32,1605050992815
系统桌面,32,1605050993324
系统桌面,32,1605050996111
系统桌面,32,1605050996128
系统桌面,2,1605050997283
系统桌面,1,1605050997940
系统桌面,32,1605050997969
手机管家,32,1605050998070
手机管家,1,1605051000012
电量和性能,32,1605051000037
电量和性能,32,1605051000244
电量和性能,1,1605051001111
电量和性能,1,1605051001831
手机管家,32,1605051001873
手机管家,32,1605051002033
手机管家,32,1605051003100
手机管家,1,1605051003926
系统桌面,32,1605051004490
系统桌面,32,1605051005379
系统桌面,2,1605051005568
系统桌面,1,1605051006329
系统桌面,1,1605051007058
手机管家,32,1605051007106
手机管家,32,1605051007262
系统桌面,32,1605051008029
系统桌面,32,1605051008069
系统桌面,1,1605051009884
用户行为,32,1605051009915
系统桌面,32,1605051010011
系统桌面,32,1605051010936
系统桌面,32,1605051010969
系统桌面,32,1605051011538
系统桌面,2,1605051015138
系统桌面,1,1605051019257
用户行为3,32,1605051019372
系统桌面,32,1605051019377
系统桌面,32,1605051019379
用户行为3,32,1605051019381
用户行为3,1,1605051020702
用户行为3,1,1605051021851
系统桌面,32,1605051023253
系统桌面,32,1605051023352
系统桌面,32,1605051023852
系统桌面,1,1605051024740
系统 UI,32,1605051024890
