event,appname,timestamp
32,设置,2020-11-10 23:24:27
32,设置,2020-11-10 23:24:28
32,设置,2020-11-10 23:24:28
32,系统桌面,2020-11-10 23:24:28
32,系统桌面,2020-11-10 23:24:29
1,系统桌面,2020-11-10 23:24:30
32,系统桌面,2020-11-10 23:24:31
32,系统桌面,2020-11-10 23:24:31
32,系统桌面,2020-11-10 23:24:32
32,系统桌面,2020-11-10 23:24:32
32,系统桌面,2020-11-10 23:24:33
1,系统桌面,2020-11-10 23:24:34
32,微信,2020-11-10 23:24:34
32,系统桌面,2020-11-10 23:24:34
32,系统桌面,2020-11-10 23:24:34
32,微信,2020-11-10 23:24:36
32,系统桌面,2020-11-10 23:24:37
32,系统桌面,2020-11-10 23:24:37
32,系统桌面,2020-11-10 23:24:38
1,系统桌面,2020-11-10 23:24:38
32,微信,2020-11-10 23:24:38
32,微信,2020-11-10 23:24:39
32,微信,2020-11-10 23:24:40
32,系统桌面,2020-11-10 23:24:42
32,系统桌面,2020-11-10 23:24:42
1,系统桌面,2020-11-10 23:24:43
32,用户行为,2020-11-10 23:24:43
32,系统桌面,2020-11-10 23:24:43
32,系统桌面,2020-11-10 23:24:43
32,用户行为,2020-11-10 23:24:43
32,系统桌面,2020-11-10 23:24:45
32,系统桌面,2020-11-10 23:24:45
32,系统桌面,2020-11-10 23:24:45
1,系统桌面,2020-11-10 23:24:47
32,系统桌面,2020-11-10 23:24:47
32,系统桌面,2020-11-10 23:24:47
32,设置,2020-11-10 23:24:47
32,设置,2020-11-10 23:24:50
32,设置,2020-11-10 23:24:50
32,用户行为3,2020-11-10 23:24:51
32,用户行为3,2020-11-10 23:24:51
1,用户行为3,2020-11-10 23:24:52
1,用户行为3,2020-11-10 23:24:54
1,用户行为3,2020-11-10 23:24:55
1,用户行为3,2020-11-10 23:24:56
1,用户行为3,2020-11-10 23:24:57
1,用户行为3,2020-11-10 23:24:58
1,用户行为3,2020-11-10 23:24:58
1,用户行为3,2020-11-10 23:24:59
32,系统桌面,2020-11-10 23:25:00
